index,created_at,text,like_count,retweet_count,reply_count,quote_count
79,2022-05-06T03:22:57.000Z,窓からくる風が心地良すぎてめっちゃうとうとしてた。,1,0,0,0
80,2022-04-28T19:42:57.000Z,豆の皮が剥がれ出して、ここ1週間ベースに触っていないことに気がついた。今日めっちゃ触る。,0,0,0,0
81,2022-04-28T19:24:27.000Z,課題始めようとchromeでLMS開く→拡張機能作りたくなる→調べる→知らぬ間にyoutubeを見てる→ツイートしてようやく勉強してないことに気づく。,0,0,0,0
82,2022-04-28T19:15:47.000Z,調べ物してたらアドベントカレンダーにて書かれた記事があって、サークルでもアドベントカレンダー回せたら楽しいだろうなと思った。ほんとちょっとしたのでいいから,0,0,0,0
83,2022-04-26T08:08:23.000Z,飽きたら次それにしよ笑,0,0,0,0
84,2022-04-26T07:57:34.000Z,Overpass Graffitiいつの間にかMV出てた。この曲聴くと去年の12月を思い出す。\nhttps://t.co/LtpnNJ9OYO,0,0,0,0
85,2022-04-26T07:52:18.000Z,自分のアカウント名に飽きてしまった。,0,0,2,0
86,2022-04-25T12:33:00.000Z,心地いい気候,0,0,0,0
87,2022-04-24T14:34:38.000Z,陳謝。,1,0,0,0
88,2022-04-24T13:11:52.000Z,RT @lumos_program: 【本日の体験会にご参加の方々へ】\n大変申し訳ございません。同じURLで開けると誤解しておりました。\n新しいURLを発行いたしましたのでこちらより引き続きご参加をよろしくお願いいたします。\nhttps://t.co/3sSaGuySvU,0,2,0,0
89,2022-04-23T16:33:02.000Z,RT @0e2b3c: 講義一覧が旧LMSっぽくなる拡張機能を作りました。\n\n講義一覧がコンパクトになる他、お知らせを左に移動したため、少しは使いやすくなるかと思います。\n\nもしよろしければお使いになってみて下さい。\n\nhttps://t.co/3HMaTck08p https…,0,14,0,0
90,2022-04-21T14:35:53.000Z,RT @pppo_ba: 忙しすぎる運指練習🥜 https://t.co/jFCXG9fnzl,0,38,0,0
91,2022-04-21T14:30:22.000Z,面白すぎる https://t.co/XYHC0hTjr1,1,0,0,0
92,2022-04-19T05:35:13.000Z,ミックスナッツのベースがカッコ良すぎる,0,0,0,0
93,2022-04-19T03:10:07.000Z,起きたらこの時間だった。ロシア語サボってしまった。,1,0,0,0
94,2022-04-18T09:49:50.000Z,RT @ynucoop: 図書館カフェShocaの営業時間を\n明日から11時〜16時まで（テスト延長）いたします。\nぜひこの機会にご利用ください。お待ちしております！,0,4,0,0
95,2022-04-17T13:56:18.000Z,errorの原因はmessageのスペルをmassageにしてただけでした。,2,0,0,0
96,2022-04-17T11:35:36.000Z,愛してしまった全部全部♪\n降りかかったエラーも全部♪,0,0,0,0
97,2022-04-17T09:39:34.000Z,気のせいだった,1,0,0,0
98,2022-04-17T09:20:05.000Z,おおっっっ！！！、、これは出力できたのでは？？？,1,0,0,0
99,2022-04-17T08:47:17.000Z,errrrrrrrrrrrrrrrrr.....r......r.............r..,1,0,0,0
